SAMPID	TISSUE_ABBRV	TISSUE_NAME
NA20530	LCL	Cells_EBV-transformed_lymphocytes
NA20531	LCL	Cells_EBV-transformed_lymphocytes
NA20532	LCL	Cells_EBV-transformed_lymphocytes
NA20534	LCL	Cells_EBV-transformed_lymphocytes
NA20535	LCL	Cells_EBV-transformed_lymphocytes
NA20536	LCL	Cells_EBV-transformed_lymphocytes
NA20538	LCL	Cells_EBV-transformed_lymphocytes
NA20539	LCL	Cells_EBV-transformed_lymphocytes
NA20540	LCL	Cells_EBV-transformed_lymphocytes
NA20541	LCL	Cells_EBV-transformed_lymphocytes
NA20542	LCL	Cells_EBV-transformed_lymphocytes
NA20543	LCL	Cells_EBV-transformed_lymphocytes
NA20544	LCL	Cells_EBV-transformed_lymphocytes
NA20581	LCL	Cells_EBV-transformed_lymphocytes
NA20582	LCL	Cells_EBV-transformed_lymphocytes
NA20585	LCL	Cells_EBV-transformed_lymphocytes
NA20586	LCL	Cells_EBV-transformed_lymphocytes
NA20588	LCL	Cells_EBV-transformed_lymphocytes
NA20589	LCL	Cells_EBV-transformed_lymphocytes
NA20752	LCL	Cells_EBV-transformed_lymphocytes
NA20754	LCL	Cells_EBV-transformed_lymphocytes
NA20756	LCL	Cells_EBV-transformed_lymphocytes
NA20757	LCL	Cells_EBV-transformed_lymphocytes
NA20758	LCL	Cells_EBV-transformed_lymphocytes
NA20759	LCL	Cells_EBV-transformed_lymphocytes
NA20760	LCL	Cells_EBV-transformed_lymphocytes
NA20761	LCL	Cells_EBV-transformed_lymphocytes
NA20765	LCL	Cells_EBV-transformed_lymphocytes
NA20766	LCL	Cells_EBV-transformed_lymphocytes
NA20768	LCL	Cells_EBV-transformed_lymphocytes
NA20769	LCL	Cells_EBV-transformed_lymphocytes
NA20770	LCL	Cells_EBV-transformed_lymphocytes
NA20771	LCL	Cells_EBV-transformed_lymphocytes
NA20772	LCL	Cells_EBV-transformed_lymphocytes
NA20773	LCL	Cells_EBV-transformed_lymphocytes
NA20774	LCL	Cells_EBV-transformed_lymphocytes
NA20778	LCL	Cells_EBV-transformed_lymphocytes
NA20783	LCL	Cells_EBV-transformed_lymphocytes
NA20785	LCL	Cells_EBV-transformed_lymphocytes
NA20786	LCL	Cells_EBV-transformed_lymphocytes
NA20787	LCL	Cells_EBV-transformed_lymphocytes
NA20790	LCL	Cells_EBV-transformed_lymphocytes
NA20792	LCL	Cells_EBV-transformed_lymphocytes
NA20795	LCL	Cells_EBV-transformed_lymphocytes
NA20796	LCL	Cells_EBV-transformed_lymphocytes
NA20797	LCL	Cells_EBV-transformed_lymphocytes
NA20798	LCL	Cells_EBV-transformed_lymphocytes
NA20799	LCL	Cells_EBV-transformed_lymphocytes
NA20800	LCL	Cells_EBV-transformed_lymphocytes
NA20801	LCL	Cells_EBV-transformed_lymphocytes
NA20802	LCL	Cells_EBV-transformed_lymphocytes
NA20803	LCL	Cells_EBV-transformed_lymphocytes
NA20804	LCL	Cells_EBV-transformed_lymphocytes
NA20805	LCL	Cells_EBV-transformed_lymphocytes
NA20806	LCL	Cells_EBV-transformed_lymphocytes
NA20807	LCL	Cells_EBV-transformed_lymphocytes
NA20808	LCL	Cells_EBV-transformed_lymphocytes
NA20809	LCL	Cells_EBV-transformed_lymphocytes
NA20810	LCL	Cells_EBV-transformed_lymphocytes
NA20811	LCL	Cells_EBV-transformed_lymphocytes
NA20812	LCL	Cells_EBV-transformed_lymphocytes
NA20813	LCL	Cells_EBV-transformed_lymphocytes
NA20814	LCL	Cells_EBV-transformed_lymphocytes
NA20815	LCL	Cells_EBV-transformed_lymphocytes
NA20819	LCL	Cells_EBV-transformed_lymphocytes
NA20826	LCL	Cells_EBV-transformed_lymphocytes
NA20828	LCL	Cells_EBV-transformed_lymphocytes
